OMIM_ID	DO_ID
OMIM:174200	DOID:1148
OMIM:174300	DOID:0060316
OMIM:174500	DOID:1148
OMIM:174700	DOID:1148
OMIM:174800	DOID:1858
OMIM:174810	DOID:0080001
OMIM:174900	DOID:0050787
OMIM:175050	DOID:1270
OMIM:175100	DOID:0050424
OMIM:175200	DOID:3852
OMIM:175700	DOID:14761
OMIM:175780	DOID:0060263
OMIM:175900	DOID:3805
OMIM:176000	DOID:3890
OMIM:176100	DOID:3132
OMIM:176200	DOID:4346
OMIM:176270	DOID:11983
OMIM:176305	DOID:10892
OMIM:176410	DOID:2277
OMIM:176500	DOID:9246
OMIM:176670	DOID:3911
OMIM:176807	DOID:10283
OMIM:176860	DOID:3756
OMIM:176920	DOID:13482
OMIM:177000	DOID:13270
OMIM:177170	DOID:0080047
OMIM:177200	DOID:0050477
OMIM:177650	DOID:13641
OMIM:177735	DOID:4479
OMIM:177820	DOID:12531
OMIM:177850	DOID:2738
OMIM:177900	DOID:8893
OMIM:178300	DOID:0060261
OMIM:178500	DOID:0050156
OMIM:178600	DOID:14557
OMIM:179800	DOID:14219
OMIM:179850	DOID:0060256
OMIM:180100	DOID:10584
OMIM:180104	DOID:10584
OMIM:180105	DOID:10584
OMIM:180200	DOID:4647
OMIM:180295	DOID:3247
OMIM:180300	DOID:7148
OMIM:180500	DOID:14686
OMIM:180550	DOID:4251
OMIM:180700	DOID:0060254
OMIM:180750	DOID:12960
OMIM:180800	DOID:10595
OMIM:180849	DOID:1933
OMIM:180860	DOID:14681
OMIM:180920	DOID:13757
OMIM:181000	DOID:11335
OMIM:181030	DOID:452
OMIM:181270	DOID:10892
OMIM:181350	DOID:11726
OMIM:181400	DOID:12377
OMIM:181405	DOID:12377
OMIM:181430	DOID:0060253
OMIM:181450	DOID:3463
OMIM:181500	DOID:5419
OMIM:182000	DOID:6498
OMIM:182212	DOID:2340
OMIM:182230	DOID:863
OMIM:182250	DOID:520
OMIM:182280	DOID:5409
OMIM:182290	DOID:13364
OMIM:182410	DOID:13096
OMIM:182600	DOID:2476
OMIM:182601	DOID:2476
OMIM:182900	DOID:12971
OMIM:182920	DOID:14264
OMIM:182940	DOID:863
OMIM:182980	DOID:12377
OMIM:183086	DOID:1441
OMIM:183090	DOID:0060204
OMIM:183900	DOID:14789
OMIM:184095	DOID:12721
OMIM:184250	DOID:0080028
OMIM:184252	DOID:12721
OMIM:184460	DOID:11971
OMIM:184500	DOID:0050449
OMIM:184840	DOID:0080046
OMIM:184900	DOID:37
OMIM:185000	DOID:589
OMIM:185070	DOID:0060354
OMIM:185300	DOID:255
OMIM:185500	DOID:1929
OMIM:185800	DOID:0050788
OMIM:185900	DOID:11193
OMIM:186000	DOID:0060242
OMIM:186100	DOID:11193
OMIM:186200	DOID:11193
OMIM:186300	DOID:11193
OMIM:186500	DOID:0050794
OMIM:186550	DOID:11971
OMIM:186570	DOID:0050789
OMIM:186580	DOID:0050678
OMIM:187300	DOID:1270
OMIM:187500	DOID:6419
OMIM:187600	DOID:13481
OMIM:187601	DOID:13481
OMIM:187800	DOID:2219
OMIM:187900	DOID:2219
OMIM:187950	DOID:2224
OMIM:188000	DOID:1588
OMIM:188030	DOID:8924
OMIM:188050	DOID:2452
OMIM:188055	DOID:2452
OMIM:188400	DOID:11198
OMIM:188470	DOID:3962
OMIM:188550	DOID:3969
OMIM:188570	DOID:11633
OMIM:188740	DOID:1148
OMIM:188890	DOID:0050742
OMIM:189500	DOID:6678
OMIM:189800	DOID:10591
OMIM:190300	DOID:4990
OMIM:190320	DOID:693
OMIM:190350	DOID:14743
OMIM:190351	DOID:0050552
OMIM:190440	DOID:2340
OMIM:190685	DOID:14250
OMIM:190900	DOID:11661
OMIM:191100	DOID:13515
OMIM:191830	DOID:14766
OMIM:191900	DOID:37
OMIM:192315	DOID:5679
OMIM:192350	DOID:14679
OMIM:192430	DOID:12583
OMIM:192500	DOID:2843
OMIM:192600	DOID:11984
OMIM:192605	DOID:114
OMIM:192950	DOID:17
OMIM:193100	DOID:0050445
OMIM:193220	DOID:8466
OMIM:193230	DOID:8466
OMIM:193300	DOID:14175
OMIM:193400	DOID:12531
OMIM:193500	DOID:9258
OMIM:193510	DOID:9258
OMIM:193520	DOID:8712
OMIM:193530	DOID:1091
OMIM:193670	DOID:612
OMIM:193700	DOID:0050646
OMIM:193900	DOID:0050448
OMIM:194070	DOID:2154
OMIM:194080	DOID:3764
OMIM:194200	DOID:384
OMIM:194380	DOID:589
OMIM:200100	DOID:1386
OMIM:200150	DOID:1289
OMIM:200500	DOID:0050603
OMIM:200600	DOID:0080054
