Ensembl_Gene_ID	Disease_ID	In_PhenoRank_Benchmarking
ENSG00000073734	OMIM:605479	FALSE
ENSG00000073792	OMIM:125853	TRUE
ENSG00000073861	OMIM:208550	TRUE
ENSG00000073921	OMIM:601626	TRUE
ENSG00000074047	OMIM:610829	FALSE
ENSG00000074047	OMIM:615849	FALSE
ENSG00000074181	OMIM:125310	TRUE
ENSG00000074181	OMIM:130720	FALSE
ENSG00000074181	OMIM:615293	FALSE
ENSG00000074317	OMIM:127750	TRUE
ENSG00000074319	OMIM:114480	TRUE
ENSG00000074410	OMIM:143860	TRUE
ENSG00000074582	OMIM:124000	FALSE
ENSG00000074582	OMIM:256000	TRUE
ENSG00000074582	OMIM:262000	TRUE
ENSG00000074582	OMIM:603358	TRUE
ENSG00000074621	OMIM:613830	FALSE
ENSG00000074695	OMIM:227300	TRUE
ENSG00000074803	OMIM:601678	TRUE
ENSG00000075043	OMIM:121200	FALSE
ENSG00000075043	OMIM:613720	FALSE
ENSG00000075213	OMIM:614897	FALSE
ENSG00000075239	OMIM:203750	TRUE
ENSG00000075275	OMIM:182940	TRUE
ENSG00000075415	OMIM:610773	FALSE
ENSG00000075624	OMIM:243310	TRUE
ENSG00000075624	OMIM:607371	TRUE
ENSG00000075643	OMIM:603592	FALSE
ENSG00000075702	OMIM:604317	TRUE
ENSG00000075785	OMIM:600882	TRUE
ENSG00000075891	OMIM:120330	TRUE
ENSG00000075891	OMIM:616002	FALSE
ENSG00000076003	OMIM:223100	TRUE
ENSG00000076242	OMIM:114500	TRUE
ENSG00000076242	OMIM:120435	TRUE
ENSG00000076242	OMIM:158320	TRUE
ENSG00000076242	OMIM:276300	TRUE
ENSG00000076242	OMIM:609310	FALSE
ENSG00000076248	OMIM:608106	TRUE
ENSG00000076351	OMIM:229050	TRUE
ENSG00000076685	OMIM:613162	FALSE
ENSG00000076944	OMIM:613101	FALSE
ENSG00000077092	OMIM:615524	FALSE
ENSG00000077150	OMIM:615577	FALSE
ENSG00000077152	OMIM:616435	FALSE
ENSG00000077238	OMIM:147050	TRUE
ENSG00000077238	OMIM:609423	FALSE
ENSG00000077264	OMIM:300558	FALSE
ENSG00000077279	OMIM:300067	TRUE
ENSG00000077498	OMIM:103470	TRUE
ENSG00000077498	OMIM:203100	TRUE
ENSG00000077498	OMIM:601800	FALSE
ENSG00000077498	OMIM:606952	TRUE
ENSG00000077522	OMIM:612158	FALSE
ENSG00000077721	OMIM:300860	FALSE
ENSG00000077782	OMIM:101600	TRUE
ENSG00000077782	OMIM:123150	TRUE
ENSG00000077782	OMIM:147950	TRUE
ENSG00000077782	OMIM:166250	TRUE
ENSG00000077782	OMIM:190440	TRUE
ENSG00000077782	OMIM:613001	FALSE
ENSG00000077782	OMIM:615465	FALSE
ENSG00000077943	OMIM:191830	TRUE
ENSG00000078070	OMIM:210200	TRUE
ENSG00000078369	OMIM:613065	FALSE
ENSG00000078369	OMIM:616973	FALSE
ENSG00000078401	OMIM:612798	FALSE
ENSG00000078401	OMIM:615706	FALSE
ENSG00000078403	OMIM:601626	TRUE
ENSG00000078579	OMIM:615721	FALSE
ENSG00000078747	OMIM:613385	FALSE
ENSG00000079215	OMIM:612656	FALSE
ENSG00000079335	OMIM:616958	FALSE
ENSG00000079435	OMIM:615980	FALSE
ENSG00000079482	OMIM:300486	TRUE
ENSG00000079616	OMIM:603546	TRUE
ENSG00000079739	OMIM:614921	FALSE
ENSG00000079805	OMIM:160150	TRUE
ENSG00000079805	OMIM:606482	TRUE
ENSG00000079805	OMIM:615368	FALSE
ENSG00000079841	OMIM:603649	TRUE
ENSG00000080493	OMIM:604278	TRUE
ENSG00000080503	OMIM:601358	TRUE
ENSG00000080561	OMIM:300928	FALSE
ENSG00000080603	OMIM:136140	TRUE
ENSG00000080644	OMIM:612052	FALSE
ENSG00000080815	OMIM:172700	TRUE
